メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
LINKChef,LINKChef,英字ブランド,,,,https://linkchefkitchen.com/,,,,Exa検索(エージェント取得),https://linkchefkitchen.com/pages/about-us,候補,[Exa検索(エージェント取得)] ブランドサイト（Shopify・米国向け）は存在するが、運営法人名・所在地・電話・メールのいずれも記載なし。中国広東省拠点との情報はアフィリエイト記事2本のみで一次情報なし＝採用せず。**連絡先は取得ゼロ** / Exa取得日:2026-09-04,
Perixx,Perixx,英字ブランド,,,,,,,,,,不明,,
Douyear,Douyear,英字ブランド,,,,,,,,,,不明,,
Earbood,Earbood,英字ブランド,,,,,,,,,,不明,,
ホビージャパン(HobbyJAPAN),ホビージャパン,和名法人らしき,,,,,,,,,,不明,,HobbyJAPAN
KYG,KYG,英字ブランド,,,,,,,,,,不明,,
VentaPak,VentaPak,英字ブランド,,,,,,,,,,不明,,
ニュートンプレス,ニュートンプレス,和名法人らしき,,,,,,,,,,不明,,
Sugeko,Sugeko,英字ブランド,,,,,,,,,,不明,,
DEXION,DEXION,英字ブランド,,,,,,,,,,不明,,
NOE,NOE,英字ブランド,,,,,,,,,,不明,,
AIZEO,AIZEO,英字ブランド,,,,,,,,,,不明,,
Plata Publishing,Plata Publishing,英字ブランド,,,,,,,,,,不明,,
Bit Trade One,Bit Trade One,英字ブランド,,,,,,,,,,不明,,
マイナビ出版,マイナビ出版,和名法人らしき,株式会社マイナビ出版,,〒101-0003 東京都千代田区一ツ橋2丁目6番3号 一ツ橋ビル2階,https://pub.mynavi.jp/,03-3556-2730,https://pub.mynavi.jp/,,Exa検索(エージェント取得),https://pub.mynavi.jp/company/ ; https://pub.mynavi.jp/access/,確定,"[Exa検索(エージェント取得)] 株式会社マイナビ100%子会社。資本金5,000万円・従業員80名。サイトに『法人のお客様』メニュー（広告掲載・販促協力／企業向け出版サービス）あり。フォームの直URLは特定できず、トップページのお問い合わせ導線を記載した / Exa取得日:2026-09-04",
レヂトン(Resiton),レヂトン,和名法人らしき,,,,,,,,,,不明,,Resiton
SwanScout,SwanScout,英字ブランド,,,,,,,,,,不明,,
Foxkoo,Foxkoo,英字ブランド,,,,,,,,,,不明,,
フィード,フィード,和名法人らしき,,,,,,,,,,不明,,
モリグリーン(Moly Green),モリグリーン,和名法人らしき,株式会社CAPスタイル,,〒143-0016 東京都大田区大森北1-11-5 共和七番館6F,https://www.cap-style.co.jp/,03-3298-7100,,,Exa検索(エージェント取得),https://www.cap-style.co.jp/ ; https://www.tokyoautosalon.jp/exhibitors/detail/10666 ; https://www.molygreen.jp/about/,候補,[Exa検索(エージェント取得)] ★取引の筋が良い。MOLYGREEN は株式会社CAPスタイルのオリジナルブランド（公式 molygreen.jp が明記）。同社はオートバックスセブンの子会社で従業員143名、**『自動車関連総合卸機能とメーカー機能を併せ持つホールセラー』を自称＝卸取引が本業**。電話は東京オートサロン出展者情報が出典で公式サイトでは未確認のため候補とした。前出の『モリドライブ』（ルート産業）とは**別会社**なので混同しないこと / Exa取得日:2026-09-04,Moly Green
AthleteBody株式会社,AthleteBody株式会社,和名法人らしき,,,,,,,,,,不明,,
明治図書出版,明治図書出版,和名法人らしき,,,,,,,,,,不明,,
WAVLINK,WAVLINK,英字ブランド,,,,,,,,,,不明,,
Everline,Everline,英字ブランド,,,,,,,,,,不明,,
CyclingDeal,CyclingDeal,英字ブランド,,,,,,,,,,不明,,
グッドスマイルカンパニー(GOOD SMILE COMPANY),グッドスマイルカンパニー,和名法人らしき,,,,https://www.goodsmile.info/,,https://corporate.goodsmile.com/ja/contact/,,既取得55社(T-20260804-001),https://corporate.goodsmile.com/ja/contact/,確定,[既取得55社(T-20260804-001)] フィギュア・ホビー。電話不可、フォームのみ / 規模:中小 / 元メーカー名表記:グッドスマイルカンパニー GOOD SMILE,GOOD SMILE COMPANY
Roadlamp,Roadlamp,英字ブランド,,,,,,,,,,不明,,
パワーブリーズ(POWER BREATHE),パワーブリーズ,和名法人らしき,,,,,,,,,,不明,,POWER BREATHE
ストレッチングボード,ストレッチングボード,和名法人らしき,,,,,,,,,,不明,,
ワー ナー・ブ ラザース・ホームエ ンターテイ メント,ワー ナー・ブ ラザース・ホームエ ンターテイ メント,和名法人らしき,,,,,,,,,,不明,,
Lusciouz,Lusciouz,英字ブランド,,,,,,,,,,不明,,
Shout! Factory,Shout! Factory,英字ブランド,,,,,,,,,,不明,,
Mill Creek Entertainment,Mill Creek Entertainment,英字ブランド,,,,,,,,,,不明,,
GoveeLife,GoveeLife,英字ブランド,,,,,,,,,,不明,,
Judout,Judout,英字ブランド,,,,,,,,,,不明,,
Handeful,Handeful,英字ブランド,,,,,,,,,,不明,,
株式会社ソニー・ピクチャーズ エンタテインメント,株式会社ソニー・ピクチャーズ エンタテインメント,和名法人らしき,,,,,,,,,,不明,,
Syitren,Syitren,英字ブランド,,,,,,,,,,不明,,
AHS,AHS,英字ブランド,,,,,,,,,,不明,,
矢崎化工(Yazaki Kako),矢崎化工,和名法人らしき,,,,,,,,,,不明,,Yazaki Kako
SENPPLE,SENPPLE,英字ブランド,,,,,,,,,,不明,,
DNIO,DNIO,英字ブランド,,,,,,,,,,不明,,
QIIZCP,QIIZCP,英字ブランド,,,,,,,,,,不明,,
DARKBEAM,DARKBEAM,英字ブランド,,,,,,,,,,不明,,
Lixno,Lixno,英字ブランド,,,,,,,,,,不明,,
Blukar,Blukar,英字ブランド,,,,,,,,,,不明,,
WOOTNBA,WOOTNBA,英字ブランド,,,,,,,,,,不明,,
XYHWPROS,XYHWPROS,英字ブランド,,,,,,,,,,不明,,
Worpurrt,Worpurrt,英字ブランド,,,,,,,,,,不明,,
Arkmoon,Arkmoon,英字ブランド,,,,,,,,,,不明,,
Cardill,Cardill,英字ブランド,,,,,,,,,,不明,,
EQZ,EQZ,英字ブランド,,,,,,,,,,不明,,
MIFA,MIFA,英字ブランド,,,,,,,,,,不明,,
SANLIU,SANLIU,英字ブランド,,,,,,,,,,不明,,
Nixies,Nixies,英字ブランド,,,,,,,,,,不明,,
IKSTAR,IKSTAR,英字ブランド,,,,,,,,,,不明,,
Jelva,Jelva,英字ブランド,,,,,,,,,,不明,,
Rucceko,Rucceko,英字ブランド,,,,,,,,,,不明,,
Inzyla,Inzyla,英字ブランド,,,,,,,,,,不明,,
ブリーダーズ・ファーム,ブリーダーズ・ファーム,和名法人らしき,ブリーダーズ・ファーム株式会社,,〒759-0134 山口県宇部市大字善和786番地-9,https://breedersfarm.com/,0836-62-0755,,bf-info@breedersfarm.com,Exa検索(エージェント取得),https://breedersfarm.com/company.html,確定,[Exa検索(エージェント取得)] ★★本丸候補。平成12年設立・資本金1000万円・従業員12名。『日本に数社しかないクワガタムシ菌床専門メーカー』を自称する超ニッチメーカー。受注生産（1本1本手詰め）。公式会社概要にメールを2つ公開（breedersfarm@ と bf-info@。窓口用と思われる bf-info@ を採用）。営業お断りの記載なし。受付 09:00-17:00 土日祝休 / Exa取得日:2026-09-04,
MAHLE,MAHLE,英字ブランド,,,,,,,,,,不明,,
SMALLRIG,SMALLRIG,英字ブランド,,,,,,,,,,不明,,
Caxzyn,Caxzyn,英字ブランド,,,,,,,,,,不明,,
EZARC,EZARC,英字ブランド,,,,,,,,,,不明,,
euclid,euclid,英字ブランド,,,,,,,,,,不明,,
Taegila,Taegila,英字ブランド,,,,,,,,,,不明,,
Jorest,Jorest,英字ブランド,,,,,,,,,,不明,,
YUGOR,YUGOR,英字ブランド,,,,,,,,,,不明,,
KELO-COTE,KELO-COTE,英字ブランド,,,,,,,,,,不明,,
Pure(ピュア),Pure,和名法人らしき,,,,,,,,,,不明,,ピュア
auto spec,auto spec,英字ブランド,,,,,,,,,,不明,,
METIYA,METIYA,英字ブランド,,,,,,,,,,不明,,
YONZEE,YONZEE,英字ブランド,,,,,,,,,,不明,,
HGGH,HGGH,英字ブランド,,,,,,,,,,不明,,
Azb.Studio,Azb.Studio,英字ブランド,,,,,,,,,,不明,,
Newmight,Newmight,英字ブランド,,,,,,,,,,不明,,
PicassoTiles,PicassoTiles,英字ブランド,,,,,,,,,,不明,,
GIMUYA,GIMUYA,英字ブランド,,,,,,,,,,不明,,
Qualia,Qualia,英字ブランド,,,,,,,,,,不明,,
GameSir,GameSir,英字ブランド,,,,,,,,,,不明,,
uchiko,uchiko,英字ブランド,,,,,,,,,,不明,,
マイヤー(Meyer),マイヤー,和名法人らしき,,,,,,,,,,不明,,Meyer
ペットラインプロバラ,ペットラインプロバラ,和名法人らしき,,,,,,,,,,不明,,
アスク,アスク,和名法人らしき,,,,,,,,,,不明,,
Thomson,Thomson,英字ブランド,,,,,,,,,,不明,,
Okanne,Okanne,英字ブランド,,,,,,,,,,不明,,
Cambridge University Press,Cambridge University Press,英字ブランド,,,,,,,,,,不明,,
kstime,kstime,英字ブランド,,,,,,,,,,不明,,
LAUNCH,LAUNCH,英字ブランド,,,,,,,,,,不明,,
LisoLife(理想ライフ),LisoLife,和名法人らしき,,,,,,,,,,不明,,理想ライフ
BEAT RECORDS / MATADOR RECORDS,BEAT RECORDS,英字ブランド,,,,,,,,,,不明,,MATADOR RECORDS
クリアストーン(Clearstone),クリアストーン,和名法人らしき,,,,,,,,,,不明,,Clearstone
Nature's Protection,Nature's Protection,英字ブランド,,,,,,,,,,不明,,
Gvyugke,Gvyugke,英字ブランド,,,,,,,,,,不明,,
TOYOTA(トヨタ),TOYOTA,和名法人らしき,,,,,,,,,,不明,,トヨタ
ZAIDER,ZAIDER,英字ブランド,,,,,,,,,,不明,,
ＬＵＳＣＩＯＵＳＬＩＰＳ,LUSCIOUSLIPS,英字ブランド,,,,,,,,,,不明,,
常陸化工,常陸化工,和名法人らしき,,,,,,,,,,不明,,
Fesaymi,Fesaymi,英字ブランド,,,,,,,,,,不明,,
東京マルイ(TOKYO MARUI),東京マルイ,和名法人らしき,,,,,,,,,,不明,,TOKYO MARUI
永岡書店,永岡書店,和名法人らしき,,,,,,,,,,不明,,
LevaGott,LevaGott,英字ブランド,,,,,,,,,,不明,,
MAZONA,MAZONA,英字ブランド,,,,,,,,,,不明,,
メビウス,メビウス,和名法人らしき,,,,,,,,,,不明,,
大石天狗堂(Ooishi Tengudo),大石天狗堂,和名法人らしき,,,,,,,,,,不明,,Ooishi Tengudo
Surfola,Surfola,英字ブランド,,,,,,,,,,不明,,
Axlgax,Axlgax,英字ブランド,,,,,,,,,,不明,,
HKS,HKS,英字ブランド,,,,,,,,,,不明,,
ARVAS,ARVAS,英字ブランド,,,,,,,,,,不明,,
ワーナー・ホーム・ビデオ,ワーナー・ホーム・ビデオ,和名法人らしき,ワーナー ブラザース ジャパン合同会社（Warner Bros. Japan LLC）,5010401016820,〒105-5515 東京都港区虎ノ門2-6-1 虎ノ門ヒルズステーションタワー15階,https://www.warnerbros.co.jp/,03-5251-6950,,,Exa検索(エージェント取得),https://www.warnerbros.co.jp/company/outline/ ; https://companydata.tsujigawa.com/company/5010401016820/,候補,[Exa検索(エージェント取得)] 『ワーナーホームビデオ』はブランド名で、法人はワーナー ブラザース ジャパン合同会社（旧・ワーナーエンターテイメントジャパン株式会社）。商号・所在地は公式サイトで確認。電話と法人番号は第三者DBのみのため行全体を候補とした。映画配給・ライセンス事業者であり仕入れ先ではない / Exa取得日:2026-09-04,
SOURCENEXT,SOURCENEXT,英字ブランド,,,,,,,,,,不明,,
LILIO,LILIO,英字ブランド,,,,,,,,,,不明,,
YESRAMO,YESRAMO,英字ブランド,,,,,,,,,,不明,,
Keiby Citom,Keiby Citom,英字ブランド,,,,,,,,,,不明,,
Vector Optics,Vector Optics,英字ブランド,,,,,,,,,,不明,,
uwant,uwant,英字ブランド,,,,,,,,,,不明,,
Universal Import,Universal Import,英字ブランド,,,,,,,,,,不明,,
Jackery,Jackery,英字ブランド,,,,,,,,,,不明,,
Fitbit(フィットビット),Fitbit,和名法人らしき,,,,,,,,,,不明,,フィットビット
アニプレックス,アニプレックス,和名法人らしき,株式会社アニプレックス,,〒102-8353 東京都千代田区六番町4-5,https://www.aniplex.co.jp/,03-5211-8031,,,Exa検索(エージェント取得),https://online.aniplex.co.jp/info/company.html ; https://jfdb.jp/contacts/2716,候補,[Exa検索(エージェント取得)] 所在地は公式サイト（アニプレックス オンライン 会社案内）で確認。**電話 03-5211-8031 は日本映画データベース（JFDB）由来で公式サイトでは裏が取れていないため行全体を候補とした**。ソニーミュージックグループのアニメ企画製作会社で、仕入れ先ではない / Exa取得日:2026-09-04,
VINYL LOVERS,VINYL LOVERS,英字ブランド,,,,,,,,,,不明,,
JYX,JYX,英字ブランド,,,,,,,,,,不明,,
QIUYMI,QIUYMI,英字ブランド,,,,,,,,,,不明,,
Htlaew,Htlaew,英字ブランド,,,,,,,,,,不明,,
セルスター(CELLSTAR),セルスター,和名法人らしき,,,,,,,,,,不明,,CELLSTAR
パラマウント ホーム エンタテインメント ジャパン,パラマウント ホーム エンタテインメント ジャパン,和名法人らしき,,,,,,,,,,不明,,
小学館集英社プロダクション,小学館集英社プロダクション,和名法人らしき,,,,,,,,,,不明,,
CIGMAN,CIGMAN,英字ブランド,,,,,,,,,,不明,,
ピークデザイン,ピークデザイン,和名法人らしき,,,,,,,,,,不明,,
サンリオ(SANRIO),サンリオ,和名法人らしき,,,,,,,,,,不明,,SANRIO
Babysense,Babysense,英字ブランド,,,,,,,,,,不明,,
TOPTRO,TOPTRO,英字ブランド,,,,,,,,,,不明,,
Discotech Media,Discotech Media,英字ブランド,,,,,,,,,,不明,,
Goliath,Goliath,英字ブランド,,,,,,,,,,不明,,
Evosound,Evosound,英字ブランド,,,,,,,,,,不明,,
Pid,Pid,英字ブランド,,,,,,,,,,不明,,
PAL&I,PAL&I,英字ブランド,,,,,,,,,,不明,,
MILITARY BASE,MILITARY BASE,英字ブランド,,,,,,,,,,不明,,
どうぶつの森,どうぶつの森,和名法人らしき,,,,,,,,,,不明,,
KDD,KDD,英字ブランド,,,,,,,,,,不明,,
タイガーゴム,タイガーゴム,和名法人らしき,,,,,,,,,,不明,,
コモライフ,コモライフ,和名法人らしき,,,,,,,,,,不明,,
pozold,pozold,英字ブランド,,,,,,,,,,不明,,
VIRALLOY,VIRALLOY,英字ブランド,,,,,,,,,,不明,,
CHEERFUL GOAT,CHEERFUL GOAT,英字ブランド,,,,,,,,,,不明,,
ANCOGIN,ANCOGIN,英字ブランド,,,,,,,,,,不明,,
PETHROOM,PETHROOM,英字ブランド,,,,,,,,,,不明,,
LIHAO,LIHAO,英字ブランド,,,,,,,,,,不明,,
Lyridz,Lyridz,英字ブランド,,,,,,,,,,不明,,
NICEHCK,NICEHCK,英字ブランド,,,,,,,,,,不明,,
A2C,A2C,英字ブランド,,,,,,,,,,不明,,
Taylor,Taylor,英字ブランド,,,,,,,,,,不明,,
フィッティ,フィッティ,和名法人らしき,,,,,,,,,,不明,,
Uexlsz,Uexlsz,英字ブランド,,,,,,,,,,不明,,
AAL,AAL,英字ブランド,,,,,,,,,,不明,,
pcceax,pcceax,英字ブランド,,,,,,,,,,不明,,
三ツ星ベルト(MITSUBOSHI),三ツ星ベルト,和名法人らしき,,,,,,,,,,不明,,MITSUBOSHI
MSEBENT,MSEBENT,英字ブランド,,,,,,,,,,不明,,
GAERUO,GAERUO,英字ブランド,,,,,,,,,,不明,,
EPOMAKER,EPOMAKER,英字ブランド,,,,,,,,,,不明,,
VVG,VVG,英字ブランド,,,,,,,,,,不明,,
YOSINA,YOSINA,英字ブランド,,,,,,,,,,不明,,
bagasin,bagasin,英字ブランド,,,,,,,,,,不明,,
COSMOS,COSMOS,英字ブランド,,,,,,,,,,不明,,
ROOMMATE,ROOMMATE,英字ブランド,,,,,,,,,,不明,,
シーラケース,シーラケース,和名法人らしき,,,,,,,,,,不明,,
扶桑社,扶桑社,和名法人らしき,株式会社扶桑社（FUSOSHA Publishing Inc.）,2010401025989,〒105-8070 東京都港区海岸1-2-20 汐留ビルディング19階,https://www.fusosha.co.jp/,03-6368-8888,,info@fusosha.co.jp,Exa検索(エージェント取得),https://www.fusosha.co.jp/ ; https://companydata.tsujigawa.com/company/2010401025989/,確定,[Exa検索(エージェント取得)] ★メールは公式サイトの問い合わせ欄に『法人・団体・企業ほか』専用として明記されているもの。★ただし同ページに『**扶桑社では個人の方向けの直接の書籍販売は行っておりません。お近くの書店、またはオンライン書店にてお申込みください**』とあり、直販は行わない方針。電話は第三者DB由来のため参考。従業員170名 / Exa取得日:2026-09-04,
公論出版,公論出版,和名法人らしき,,,,,,,,,,不明,,
SPOSING,SPOSING,英字ブランド,,,,,,,,,,不明,,
一発合格まとめシート,一発合格まとめシート,和名法人らしき,,,,,,,,,,不明,,
Sunday Pets,Sunday Pets,英字ブランド,,,,,,,,,,不明,,
SUN-S(サンエス),SUN-S,和名法人らしき,,,,,,,,,,不明,,サンエス
懐石,懐石,和名法人らしき,ペットライン株式会社,,〒507-0062 岐阜県多治見市大針町657-1（本店・多治見工場）／〒220-8146 神奈川県横浜市西区みなとみらい2-2-1 横浜ランドマークタワー46階（本社）,https://www.petline.co.jp/,0572-29-2011,https://www.petline.co.jp/contact/,,Exa検索(エージェント取得),https://www.petline.co.jp/company/ ; https://www.nisshin.com/uploads/191217.pdf,確定,"[Exa検索(エージェント取得)] ★ブランド帰属の追跡が要った行。『懐石』『和の究み JPスタイル』はもともと日清ペットフード株式会社のブランドだが、**2019年12月に三菱商事グループのペットライン株式会社へ事業譲渡された**（日清製粉グループ本社のIR資料で確認）。したがって現在の権利者はペットライン。★検索上位に出た『日本ペットフード株式会社』は**社名が似ているだけの別会社**なので採用しなかった。自社工場・研究開発センターを持つ国産メーカー。資本金4億8,000万円・従業員185名 / Exa取得日:2026-09-04",
La Fairy,La Fairy,英字ブランド,,,,,,,,,,不明,,
Autel,Autel,英字ブランド,,,,,,,,,,不明,,
Entergram,Entergram,英字ブランド,,,,,,,,,,不明,,
ESR,ESR,英字ブランド,,,,,,,,,,不明,,
TEKNOS,TEKNOS,英字ブランド,,,,,,,,,,不明,,
GraceDuck,GraceDuck,英字ブランド,,,,,,,,,,不明,,
SMEE,SMEE,英字ブランド,,,,,,,,,,不明,,
Goody King,Goody King,英字ブランド,,,,,,,,,,不明,,
アシェット・コレクションズ・ジャパン,アシェット・コレクションズ・ジャパン,和名法人らしき,,,,,,,,,,不明,,
YouTen(ユーテン),YouTen,和名法人らしき,,,,,,,,,,不明,,ユーテン
YESKAMOO,YESKAMOO,英字ブランド,,,,,,,,,,不明,,
Key Sounds Label,Key Sounds Label,英字ブランド,,,,,,,,,,不明,,
Sawyer,Sawyer,英字ブランド,,,,,,,,,,不明,,
FANGOR,FANGOR,英字ブランド,,,,,,,,,,不明,,
日本経済新聞出版社,日本経済新聞出版社,和名法人らしき,,,,,,,,,,不明,,
Harriman House,Harriman House,英字ブランド,,,,,,,,,,不明,,
Heinle ELT,Heinle ELT,英字ブランド,,,,,,,,,,不明,,
Dolce & Gabbana,Dolce & Gabbana,英字ブランド,,,,,,,,,,不明,,
吉田製油所,吉田製油所,和名法人らしき,,,,,,,,,,不明,,
ドリームメーカー(DreamMaker),ドリームメーカー,和名法人らしき,,,,,,,,,,不明,,DreamMaker
LABEWVI,LABEWVI,英字ブランド,,,,,,,,,,不明,,
Classic Editions,Classic Editions,英字ブランド,,,,,,,,,,不明,,
ゲームテック,ゲームテック,和名法人らしき,"株式会社ゲームテック（GAMETECH CO.,LTD.）",,〒812-8629 福岡県福岡市博多区山王1丁目13-3,https://gametech.co.jp/,092-433-9911,https://gametech.co.jp/customer-support/,,Exa検索(エージェント取得),https://gametech.co.jp/corporate/ ; https://gametech.co.jp/customer-support/,確定,"[Exa検索(エージェント取得)] ★打診可能。昭和60年設立・資本金3,000万円。デジタル機器関連製品の**企画・開発・製造販売**を自社で行う中堅メーカー。代表 092-433-9911、製品窓口 092-433-9918。営業お断りの記載なし / Exa取得日:2026-09-04",
PrimeSellerJapan,PrimeSellerJapan,英字ブランド,,,,,,,,,,不明,,
wookiyyo,wookiyyo,英字ブランド,,,,,,,,,,不明,,
Fisher-Price,Fisher-Price,英字ブランド,,,,,,,,,,不明,,
Ansimple,Ansimple,英字ブランド,,,,,,,,,,不明,,
トキワ商事,トキワ商事,和名法人らしき,,,,,,,,,,不明,,
Flomep,Flomep,英字ブランド,,,,,,,,,,不明,,
Sangean,Sangean,英字ブランド,,,,,,,,,,不明,,
aurochs,aurochs,英字ブランド,,,,,,,,,,不明,,
自然暮らし,自然暮らし,和名法人らしき,,,,,,,,,,不明,,
READAEER,READAEER,英字ブランド,,,,,,,,,,不明,,
KOMAINU GAMES,KOMAINU GAMES,英字ブランド,,,,,,,,,,不明,,
フィットフィンガートレーニング,フィットフィンガートレーニング,和名法人らしき,,,,,,,,,,不明,,
Mitea Lab,Mitea Lab,英字ブランド,,,,,,,,,,不明,,
AOZTSUN,AOZTSUN,英字ブランド,,,,,,,,,,不明,,
SHARPAL,SHARPAL,英字ブランド,,,,,,,,,,不明,,
学事出版,学事出版,和名法人らしき,,,,,,,,,,不明,,
Vintage Classics,Vintage Classics,英字ブランド,,,,,,,,,,不明,,
XPPen,XPPen,英字ブランド,,,,,,,,,,不明,,
Panovol,Panovol,英字ブランド,,,,,,,,,,不明,,
ecoofee,ecoofee,英字ブランド,,,,,,,,,,不明,,
RayCue,RayCue,英字ブランド,,,,,,,,,,不明,,
DCHK,DCHK,英字ブランド,,,,,,,,,,不明,,
stedi,stedi,英字ブランド,,,,,,,,,,不明,,
Mankiw,Mankiw,英字ブランド,,,,,,,,,,不明,,
NB(ドットサイト),NB,和名法人らしき,,,,,,,,,,不明,,ドットサイト
PlayStation,PlayStation,英字ブランド,,,,,,,,,,不明,,
アルインコ(Alinco),アルインコ,和名法人らしき,,,,,,,,,,不明,,Alinco
Pエンタメストア,Pエンタメストア,和名法人らしき,,,,,,,,,,不明,,エンタメストア
旭化成ワッカーシリコン,旭化成ワッカーシリコン,和名法人らしき,,,,,,,,,,不明,,
20世紀フォックス・ホーム・エンターテイメント・ジャパン,20世紀フォックス・ホーム・エンターテイメント・ジャパン,和名法人らしき,,,,,,,,,,不明,,
電気車研究会,電気車研究会,和名法人らしき,,,,,,,,,,不明,,
Grand Central Publishing,Grand Central Publishing,英字ブランド,,,,,,,,,,不明,,
インディーズレーベル,インディーズレーベル,和名法人らしき,,,,,,,,,,不明,,
KBファーム,KBファーム,和名法人らしき,,,,,,,,,,不明,,ファーム | KB
Elekasumi,Elekasumi,英字ブランド,,,,,,,,,,不明,,
New Bee,New Bee,英字ブランド,,,,,,,,,,不明,,
ユニバーサル・ピクチャーズ・ジャパン,ユニバーサル・ピクチャーズ・ジャパン,和名法人らしき,,,,,,,,,,不明,,
タイル(Tile),タイル,和名法人らしき,,,,,,,,,,不明,,Tile
Epic,Epic,英字ブランド,,,,,,,,,,不明,,
G7th,G7th,英字ブランド,,,,,,,,,,不明,,
マグパチ,マグパチ,和名法人らしき,,,,,,,,,,不明,,
MAONO,MAONO,英字ブランド,,,,,,,,,,不明,,
ダイキ,ダイキ,和名法人らしき,,,,,,,,,,不明,,
EMI,EMI,英字ブランド,,,,,,,,,,不明,,
Cengage Learning,Cengage Learning,英字ブランド,,,,,,,,,,不明,,
Natsumi,Natsumi,英字ブランド,,,,,,,,,,不明,,
Buena Vista Home Entertainment,Buena Vista Home Entertainment,英字ブランド,,,,,,,,,,不明,,
Big Brother,Big Brother,英字ブランド,,,,,,,,,,不明,,
Collonil(コロニル),Collonil,和名法人らしき,,,,,,,,,,不明,,コロニル
スリーエム(3M),スリーエム,和名法人らしき,,,,,,,,,,不明,,3M
Avrpqiwy,Avrpqiwy,英字ブランド,,,,,,,,,,不明,,
roborock,roborock,英字ブランド,,,,,,,,,,不明,,
筒井時正商店,筒井時正商店,和名法人らしき,,,,,,,,,,不明,,
金鳥,金鳥,和名法人らしき,,,,,,,,,,不明,,
ブレイス(Braith),ブレイス,和名法人らしき,,,,,,,,,,不明,,Braith
消臭ビーズ,消臭ビーズ,和名法人らしき,,,,,,,,,,不明,,
富士通,富士通,和名法人らしき,,,,,,,,,,不明,,
NorwegianStyle,NorwegianStyle,英字ブランド,,,,,,,,,,不明,,
大島屋(Ooshimaya),大島屋,和名法人らしき,,,,,,,,,,不明,,Ooshimaya
Maxell,Maxell,英字ブランド,,,,,,,,,,不明,,
ゼンハイザー(Sennheiser),ゼンハイザー,和名法人らしき,,,,,,,,,,不明,,Sennheiser
ハズブロ(HASBRO),ハズブロ,和名法人らしき,,,,https://consumercare.hasbro.com/ja-jp,,,customerservice.japan@ap.hasbro.com,既取得55社(T-20260804-001),https://consumercare.hasbro.com/ja-jp/contact-information,確定,[既取得55社(T-20260804-001)] 直取引困難・正規窓口。日本法人=ハズブロジャパン合同会社(東京都文京区)。電話終了しメールのみ(平日10-16時) / 規模:海外 / 元メーカー名表記:Hasbro ハズブロ,HASBRO
NANOXone(ナノックスワン),NANOXone,和名法人らしき,,,,,,,,,,不明,,ナノックスワン
THANKO,THANKO,英字ブランド,,,,,,,,,,不明,,
LIHILIS,LIHILIS,英字ブランド,,,,,,,,,,不明,,
山善(YAMAZEN),山善,和名法人らしき,,,,,,,,,,不明,,YAMAZEN
NETGEAR,NETGEAR,英字ブランド,,,,,,,,,,不明,,
PLUS91(プラス91）,PLUS91,和名法人らしき,,,,,,,,,,不明,,プラス91
KJK,KJK,英字ブランド,,,,,,,,,,不明,,
Blackstone Publishing,Blackstone Publishing,英字ブランド,,,,,,,,,,不明,,
空調服,空調服,和名法人らしき,,,,,,,,,,不明,,
マンフロット(Manfrotto),マンフロット,和名法人らしき,,,,,,,,,,不明,,Manfrotto
Def Jam,Def Jam,英字ブランド,,,,,,,,,,不明,,
Goal Zero,Goal Zero,英字ブランド,,,,,,,,,,不明,,
B3 BIGTHREE,B3 BIGTHREE,英字ブランド,,,,,,,,,,不明,,
マスプロ電工,マスプロ電工,和名法人らしき,,,,,,,,,,不明,,
Kimwood,Kimwood,英字ブランド,,,,,,,,,,不明,,
Derila,Derila,英字ブランド,,,,,,,,,,不明,,
Google,Google,英字ブランド,,,,,,,,,,不明,,
Globular Cluster,Globular Cluster,英字ブランド,,,,,,,,,,不明,,
Evercade,Evercade,英字ブランド,,,,,,,,,,不明,,
N-style,N-style,英字ブランド,,,,,,,,,,不明,,
Spopal,Spopal,英字ブランド,,,,,,,,,,不明,,
Braun,Braun,英字ブランド,,,,,,,,,,不明,,
サムスン(SAMSUNG),サムスン,和名法人らしき,,,,,,,,,,不明,,SAMSUNG
Tipkook,Tipkook,英字ブランド,,,,,,,,,,不明,,
アイホン,アイホン,和名法人らしき,,,,,,,,,,不明,,
ヘリノックス(Helinox),ヘリノックス,和名法人らしき,,,,,,,,,,不明,,Helinox
フジクリーン,フジクリーン,和名法人らしき,,,,,,,,,,不明,,
HP,HP,英字ブランド,,,,,,,,,,不明,,
プロクソン(PROXXON),プロクソン,和名法人らしき,株式会社キソパワーツール,,〒545-0021 大阪府大阪市阿倍野区阪南町7-1-8,https://kiso-proxxon.co.jp/,06-6693-5351,,,Exa検索(エージェント取得),https://kiso-proxxon.co.jp/publics/index/140/ ; https://www.proxxon.com/jp/,確定,[Exa検索(エージェント取得)] PROXXON はドイツ本国ブランド。日本には製造販売元の株式会社キソパワーツールと、販売代理店の PROX-TECH Co. Ltd の2社が存在（PROXXON 公式の日本代理店ページで確認）。本行は製造販売元のキソパワーツールを採用した。フォームURLは特定できず未取得 / Exa取得日:2026-09-04,PROXXON
Speakers Corner,Speakers Corner,英字ブランド,,,,,,,,,,不明,,
Semtyait,Semtyait,英字ブランド,,,,,,,,,,不明,,
プリンストン,プリンストン,和名法人らしき,,,,,,,,,,不明,,
