メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,実セラー数_現行,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索
euclid,1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49,なし,㈱NEXURISE -インボイス発行事業者- / 安心価格のライブラ / [インボイス対応]☆★わんぱく堂★☆[返金保証あり],3,3,3,816,B01J0K0EWY,euclid 業務用 超強力 消臭剤 【 尿臭 便臭 死臭 腐敗臭 無香 除菌 】 1個 (x 1),https://www.amazon.co.jp/dp/B01J0K0EWY,https://www.google.com/search?q=euclid%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
naef,1,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語,なし,木のおもちゃ専門店　こどもの木【正規品取扱店】(since1995) / グランデ　アマゾン店 / 木のおもちゃ おっぽろっぽ,5,5,5,1837,B0028JR72A,ネフ社　リングリィリング（naef Ringli-ring）,https://www.amazon.co.jp/dp/B0028JR72A,https://www.google.com/search?q=naef%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
récolte,1,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／日本法人格,なし,インテリア＆雑貨のショップ　plywood（プライウッド） / lenient store (インボイス発行事業者) / ホッチポッチ自由が丘WEB SHOP,4,4,5,4690,B0FRD5RQ53,［日本正規品］recolte コードレスカプセルカッターボンヌ フードプロセッサー コードレス 電動 1台8役 氷も砕け,https://www.amazon.co.jp/dp/B0FRD5RQ53,https://www.google.com/search?q=r%C3%A9colte%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
うちのこエレクトリック,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語／日本法人格,なし,保証付で安心のアクセスライン（Accessline）,1,2,2,10136,B0C2BYWYVB,【獣医師監修】 うちのこエレクトリック カリカリマシーンV2C Plus スマホ連動 自動給餌器 猫 犬用 遠隔操作 見,https://www.amazon.co.jp/dp/B0C2BYWYVB,https://www.google.com/search?q=%E3%81%86%E3%81%A1%E3%81%AE%E3%81%93%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
からからつみき(KARAKARATSUMIKI),1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,IRODORI Heart（イロドリハート） / キャラメルカフェ(株)２点購入で5％OFF（対象商品）,2,2,2,2967,B07PQRBV8V,からからつみき 木製 積み木 ギフト 知育玩具 モンテッソーリ | 240ピース 日本製 宮崎県産杉100%使用 無塗装,https://www.amazon.co.jp/dp/B07PQRBV8V,https://www.google.com/search?q=%E3%81%8B%E3%82%89%E3%81%8B%E3%82%89%E3%81%A4%E3%81%BF%E3%81%8D%28KARAKARATSUMIKI%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
たのつく,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語／日本法人格,なし,株式会社サンワ / わいわいショップ【本店】 / 手作り工房　遊,4,4,4,447,B0035P3IL0,自由工作に最適！楽しく作って・楽しく貯金（ちょっ金ハウス）,https://www.amazon.co.jp/dp/B0035P3IL0,https://www.google.com/search?q=%E3%81%9F%E3%81%AE%E3%81%A4%E3%81%8F%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ぼん家具,1,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,吉田のショップ,1,4,4,2040,B07BSWGT7C,アップリカ 専用カートリッジ 〔専用カセット6個セット〕 ニオイポイ におわなくてポイ おむつ処理,https://www.amazon.co.jp/dp/B07BSWGT7C,https://www.google.com/search?q=%E3%81%BC%E3%82%93%E5%AE%B6%E5%85%B7%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アイアップ,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,らっきーどりーむ / ホビーマーケット通販センター【適格請求書発行事業者】,2,3,3,1575,B01FXIRHC2,アイアップ OH!寿司ゲーム マルチカラー,https://www.amazon.co.jp/dp/B01FXIRHC2,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%82%A2%E3%83%83%E3%83%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アイサポモバイル,1,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語／日本法人格,なし,アーパス / スローワーク /インボイス登録番号：T7010001233500 / D-Park【株式会社デジタルパーク インボイス対応/適格事業者】,4,5,5,1053,B0DQC4LNLQ,【日本通信SIM】音声対応：合理的（シンプル290プラン、みんなのプラン、50GBプラン、他）またはデータ通信専用：（ネ,https://www.amazon.co.jp/dp/B0DQC4LNLQ,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%82%B5%E3%83%9D%E3%83%A2%E3%83%90%E3%82%A4%E3%83%AB%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アイホン,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,住まいるライト / 【適格請求書発行事業者】匠屋 / アクティブダイレクト,3,5,5,6183,B07TH669Q7,アイホン インターホン ドアホン テレビドアホン カメラ付き玄関子機 モニター付き親機 わかりやすい画面表示 カメラレン,https://www.amazon.co.jp/dp/B07TH669Q7,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%83%9B%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アガツマ(AGATSUMA),1,ホビー,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,ニキーズホーム / ツチノコShop / ラ・ポールブック (すり替え・盗難対策店舗),6,6,6,1748,B0FPQJXSFR,アガツマ(AGATSUMA) ラブあみ プレミアムセット【2025】（対象年齢：6歳以上）,https://www.amazon.co.jp/dp/B0FPQJXSFR,https://www.google.com/search?q=%E3%82%A2%E3%82%AC%E3%83%84%E3%83%9E%28AGATSUMA%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アストロプロダクツ,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,manufacturer日本語／メーカー名日本語,なし,ECJOY! [創業24年インボイスT7011001061049] / イデカ(iDECA) / ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります,4,4,5,824,B07D29WS91,アストロプロダクツ AC100V ミニグラインダー | リューター ルーター カービング 削る 磨く 切削 研磨,https://www.amazon.co.jp/dp/B07D29WS91,https://www.google.com/search?q=%E3%82%A2%E3%82%B9%E3%83%88%E3%83%AD%E3%83%97%E3%83%AD%E3%83%80%E3%82%AF%E3%83%84%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アニマル・ワン,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語,なし,リトルフィールド / ハローハローショップ / 量り売り最安モール,4,6,6,2262,B084H7YXYT,アニマル・ワン 犬の雑穀ごはん ライト シニア用 チキン 2020年リニューアル版 1.6kg x 2袋,https://www.amazon.co.jp/dp/B084H7YXYT,https://www.google.com/search?q=%E3%82%A2%E3%83%8B%E3%83%9E%E3%83%AB%E3%83%BB%E3%83%AF%E3%83%B3%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アルインコ(Alinco),1,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,ヒロセ ネットショップ,1,2,2,616,B07V8RGCFM,アルインコ(ALINCO) エクササイズクッション WBN126,https://www.amazon.co.jp/dp/B07V8RGCFM,https://www.google.com/search?q=%E3%82%A2%E3%83%AB%E3%82%A4%E3%83%B3%E3%82%B3%28Alinco%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
アーテック(artec),1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,A1 ショップ【3300円以上で全国送料無料】※一部送料無料もございます / POCCHI（ポッチ）簡易梱包、衣類ぬいぐるみ等は圧縮後発送 / ディーライズ【新品】（すり替え・抜き取り対策実施中）,7,7,7,1222,B0DPZRSTG5,アーテック キッズミニピアノ 75535,https://www.amazon.co.jp/dp/B0DPZRSTG5,https://www.google.com/search?q=%E3%82%A2%E3%83%BC%E3%83%86%E3%83%83%E3%82%AF%28artec%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
イージースタンド,1,大型家電,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,家づくりと工具のお店 家ファン！ / スダ商会（水周り用品のプロショップ） / 株式会社テクノテック,4,4,4,4172,B004XY6V02,洗濯機台 かさ上げ用 イージースタンド (一般用/高さ105mm) Ｄ105,https://www.amazon.co.jp/dp/B004XY6V02,https://www.google.com/search?q=%E3%82%A4%E3%83%BC%E3%82%B8%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
イースター,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ONEBEST1+【インボイス発行事業者】 / マペット【3500円以上送料無料】 / 暮らし健康ネット館,5,6,6,1882,B0030IK0IQ,イースター フェレットセレクション シニア 3.5Kg,https://www.amazon.co.jp/dp/B0030IK0IQ,https://www.google.com/search?q=%E3%82%A4%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ウエスト(West),1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,家づくりと工具のお店 家ファン！ / 管材屋ドットコム / かんだ！,5,5,5,2165,B007TIPRKO,ウエスト 【ユニ結露防止テープ】 空調設備等で威力を発揮する吸水力業務用結露対策テープ。ホワイト HE005-ARC,https://www.amazon.co.jp/dp/B007TIPRKO,https://www.google.com/search?q=%E3%82%A6%E3%82%A8%E3%82%B9%E3%83%88%28West%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ウッディプッディ(Woodypuddy),1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,EMBL(エンブル)《適格請求書発行事業者登録済》 / 美鳩商会(ミハトショウカイ)適格請求書発行事業者,2,2,2,2049,B07NN9Z9C8,ウッディプッディ(Woodypuddy) サラダセット,https://www.amazon.co.jp/dp/B07NN9Z9C8,https://www.google.com/search?q=%E3%82%A6%E3%83%83%E3%83%87%E3%82%A3%E3%83%97%E3%83%83%E3%83%87%E3%82%A3%28Woodypuddy%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
エジソン(EDISON),1,ベビー＆マタニティ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ケイジェイシー / ベルニコ ダイレクトショップ / プチ・ママ,4,4,4,311,B0DPX41RG4,WOW CUP baby 【逆さにしても倒してもこぼれにくい】 360°どこからでも飲める トレーニングマグ ベビーマグ,https://www.amazon.co.jp/dp/B0DPX41RG4,https://www.google.com/search?q=%E3%82%A8%E3%82%B8%E3%82%BD%E3%83%B3%28EDISON%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
エーペックス(Apex),1,ホビー,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,メーカー名日本語,なし,つきよみ / KaniHobby販売 / 168商店,4,5,5,8646,B0DJ8FQDP6,ブルーアーカイブ イロハ 1/7スケール PVC&ABS製 塗装済み完成品フィギュア,https://www.amazon.co.jp/dp/B0DJ8FQDP6,https://www.google.com/search?q=%E3%82%A8%E3%83%BC%E3%83%9A%E3%83%83%E3%82%AF%E3%82%B9%28Apex%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
オウルテック,1,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ECJOY! [創業24年インボイスT7011001061049],2,2,3,677,B0B5FWS7J7,オウルテック ライトニングケーブル 巻取り式 両引きタイプ データ転送 480Mbps MFi認証取得 軽量 コンパクト,https://www.amazon.co.jp/dp/B0B5FWS7J7,https://www.google.com/search?q=%E3%82%AA%E3%82%A6%E3%83%AB%E3%83%86%E3%83%83%E3%82%AF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
カモ井加工紙,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,GARDENINA（ガーデニーナ） / buckteeth【株式会社バックティース】インボイス対応済 / むさしのメディアセンタ,3,4,4,3461,B08V4SFL59,虫取り上手 強力粘着捕虫シート 黄色 20枚入×6個,https://www.amazon.co.jp/dp/B08V4SFL59,https://www.google.com/search?q=%E3%82%AB%E3%83%A2%E4%BA%95%E5%8A%A0%E5%B7%A5%E7%B4%99%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
キャットアイ(CAT EYE),1,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,メーカー名日本語,なし,"PAXPROJECT（商品は実在庫です。） / SISｵﾝﾗｲﾝ(日祝休)■簡易包装■ / 『FKD商会』全商品国内正規輸入代理店より仕入れ ※総額9,900円で送料無料",5,5,5,989,B0DTN7TH48,キャットアイ(CAT EYE) 自転車用LEDライト AMPP200（200ルーメン） USB充電式 最大13時間点灯 ,https://www.amazon.co.jp/dp/B0DTN7TH48,https://www.google.com/search?q=%E3%82%AD%E3%83%A3%E3%83%83%E3%83%88%E3%82%A2%E3%82%A4%28CAT%20EYE%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
キャロムショット,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,HBLT ハイグレース / ホビーエクスプレス / ミリタリーベース,5,6,6,796,B002G29YHU,キャロムショット モデルガン用スプレー塗料 ブラックスチール(黒鉄色) 容量:300ml,https://www.amazon.co.jp/dp/B002G29YHU,https://www.google.com/search?q=%E3%82%AD%E3%83%A3%E3%83%AD%E3%83%A0%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
クリアストーン(Clearstone),1,ホビー,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,株式会社クリアストーン / ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい,2,2,2,3076,B0CLP97GMD,クリアストーン(Clearstone) コスプレ ハロウィン 金色将軍 ユニセックス ゴールド,https://www.amazon.co.jp/dp/B0CLP97GMD,https://www.google.com/search?q=%E3%82%AF%E3%83%AA%E3%82%A2%E3%82%B9%E3%83%88%E3%83%BC%E3%83%B3%28Clearstone%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
クロノス,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ティーズマルシェ / KTAライジングストア(適格請求書発行事業者) / パズルショップトリト,5,6,6,1124,B07BFR1NB8,ドメモ(DOMEMO)木製タイル版/クロノス/アレックス・ランドルフ,https://www.amazon.co.jp/dp/B07BFR1NB8,https://www.google.com/search?q=%E3%82%AF%E3%83%AD%E3%83%8E%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コニーエレクトロニクスサービス,1,楽器・音響機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,セキュリティ王（インボイス対応） / mplus（エムプラス） / HDCトータルプロショップ【インボイス対応納品書を同封します】,5,5,6,11297,B0758TZ8D9,スタンダード コンクリートマイク MW-25,https://www.amazon.co.jp/dp/B0758TZ8D9,https://www.google.com/search?q=%E3%82%B3%E3%83%8B%E3%83%BC%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%AD%E3%83%8B%E3%82%AF%E3%82%B9%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コミネ(KOMINE),1,産業・研究開発用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,モトメガネ（運営元：パークアップ） / ヒロチー商事 / バイクパーツRGM,3,4,4,2740,B0FDKB6GJH,コミネ(KOMINE) ペルチェ素子ウェアラブル ブレインクーラー Black Free 00-923 KK-923 熱,https://www.amazon.co.jp/dp/B0FDKB6GJH,https://www.google.com/search?q=%E3%82%B3%E3%83%9F%E3%83%8D%28KOMINE%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コモライフ,1,DIY・工具・ガーデン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,通販奉行 / A1 ショップ【3300円以上で全国送料無料】※一部送料無料もございます,2,2,2,544,B09QSJ4MQ1,コモライフ サッと使える緊急携帯トイレ 18回分 600cc 非常用トイレ 簡易 携帯 トイレ 防災 男女兼用 凝固剤,https://www.amazon.co.jp/dp/B09QSJ4MQ1,https://www.google.com/search?q=%E3%82%B3%E3%83%A2%E3%83%A9%E3%82%A4%E3%83%95%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コロコロ堂,1,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ミーニャ 簡易梱包、衣類ぬいぐるみ等は圧縮後発送となります / ボードゲームカフェ7Gold / ウォーハンマー&ホビーのお店 ホビーストア モデルシステムズ,3,3,4,1852,B0FW5D5SF8,コロコロ堂 ナショナルエコノミー ボードゲーム｜1-4人用 30～45分 12才以上向け｜国産経済ゲームの金字塔。三部作,https://www.amazon.co.jp/dp/B0FW5D5SF8,https://www.google.com/search?q=%E3%82%B3%E3%83%AD%E3%82%B3%E3%83%AD%E5%A0%82%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
コンフィデンス,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ペット犬猫療法食動物病院【適格請求書発行事業者】 / ドッグワールド / T.K.S.-HOUSE【すり替え抜き取り対策強化中】,5,5,5,1109,B00C149CE8,コンフィデンス 3kg袋 ラビットフード,https://www.amazon.co.jp/dp/B00C149CE8,https://www.google.com/search?q=%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A3%E3%83%87%E3%83%B3%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
シュワルベ(SCHWALBE),1,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,メーカー名日本語,なし,ジテンシャデポ / KKPLオンライン / Link LLC(適格請求書発行事業者),4,5,5,576,B075LY4S1F,2本セット SCHWALBE(シュワルベ) 700x18/28c 仏式バルブ 40mm SV15 [並行輸入品],https://www.amazon.co.jp/dp/B075LY4S1F,https://www.google.com/search?q=%E3%82%B7%E3%83%A5%E3%83%AF%E3%83%AB%E3%83%99%28SCHWALBE%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ショウエイ(Shoei),1,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／メーカー名日本語,なし,実乃屋（適格請求書発行事業者） / 能登家 / モトキチ,3,5,5,1687,B0BJPC47YZ,ショウエイ(SHOEI) 4512048574390 定形外郵便 SHOEI DRYLENS 301 クリア ピンロック,https://www.amazon.co.jp/dp/B0BJPC47YZ,https://www.google.com/search?q=%E3%82%B7%E3%83%A7%E3%82%A6%E3%82%A8%E3%82%A4%28Shoei%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
シーラケース,1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語,なし,【メーカー正規品】Tezos インボイス発行事業者-365日・24時間注文 / ペットグッズ・りりあ / 有限会社ドルクスダンケ,3,3,3,760,B01AQHA5ZQ,シーラケース シーラ箱 （標準）昆虫標本用品標本箱,https://www.amazon.co.jp/dp/B01AQHA5ZQ,https://www.google.com/search?q=%E3%82%B7%E3%83%BC%E3%83%A9%E3%82%B1%E3%83%BC%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ジクラ (Zicra),1,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,ホームセンタートックリ / FIT INN【インボイス発行事業者】 / ペットグッズ・りりあ,5,5,5,2094,B07FFJWNK1,ジクラ フクロモモンガ専用フード オッティモ１５ １０００ｇ,https://www.amazon.co.jp/dp/B07FFJWNK1,https://www.google.com/search?q=%E3%82%B8%E3%82%AF%E3%83%A9%20%28Zicra%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
スズキ機工(Suzuki Kikoh),1,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,manufacturer日本語／メーカー名日本語,なし,エーエム・トレード / HPMストア,2,4,4,2487,B08K8Q8CJ6,スズキ機工 ベルハンマーセブン 330ml 2本セット[エンジンオイル添加剤/自動車],https://www.amazon.co.jp/dp/B08K8Q8CJ6,https://www.google.com/search?q=%E3%82%B9%E3%82%BA%E3%82%AD%E6%A9%9F%E5%B7%A5%28Suzuki%20Kikoh%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ストレート(STRAIGHT),1,車＆バイク,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,【365日年中無休】三方良しEC事業部 / 姫路カメラ（インボイス対応済み） / 近江屋＠ｎｅｔ本店【親切丁寧♪迅速発送♪】,4,5,5,744,B008KGS4HC,(STRAIGHT/ストレート) ブルーマジック メタルポリッシュクリーム 550g BM500 36-0500,https://www.amazon.co.jp/dp/B008KGS4HC,https://www.google.com/search?q=%E3%82%B9%E3%83%88%E3%83%AC%E3%83%BC%E3%83%88%28STRAIGHT%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
